circRNA,disease,label
hsa_circ_052372,intervertebral disc degeneration,0
hsa_circ_0001445,myocardial infarction,0
hsa_circrna_000479,triple negative breast neoplasms,1
hsa_circrna_0007334,"carcinoma, pancreatic ductal",1
circ2174,breast neoplasms,0
hsa_circ_0006848,stomach neoplasms,1
hsa_circ_0008717,"carcinoma, non-small-cell lung",1
circrhobtb3,stomach neoplasms,1
circhipk3,"carcinoma, renal cell",1
hsa_circrna_061346,mucocutaneous lymph node syndrome,0
circrna_104718,cholangiocarcinoma,0
hsa_circ_0056618,coronary artery disease,0
hsa_circ_0015278,"thyroid cancer, papillary",1
hsa_circ_0061825,"thyroid cancer, papillary",0
hsa_circ_0001725,stomach neoplasms,1
hsa_circrna_008068,"depressive disorder, major",0
circrna_11058,rheumatic heart disease,1
hsa_circ_0001461,inflammatory bowel diseases,0
hsa_circ_0034642,glioma,1
hsa_circ_0000792,silicosis,0
hsa_circrna_101873,"arthritis, rheumatoid",1
hsa_circ_0001897,stomach neoplasms,1
circmtdh.4,active pulmonary tuberculosis,0
hsa_circ_0004846,herpes simplex,0
circ_efcab2,"carcinoma, hepatocellular",0
hsa_circ_0051240,ovarian neoplasms,1
circpvt1,lung neoplasms,1
hsa_circ_0006323,"thyroid cancer, papillary",0
circ-eif4g3,stomach neoplasms,1
hsa_circrna_0054633,"prostatic neoplasms, castration-resistant",0
hsa_circ_0124644,lung neoplasms,0
circubxn7,urinary bladder neoplasms,1
hsa_circ_0020397,"leukemia, promyelocytic, acute",0
circ-ube2d2,breast neoplasms,1
hsa_circ_104871,"arthritis, rheumatoid",1
circrna_003524,hepatocellular steatosis,0
circadamts13,liver neoplasms,1
hsa_circ_0001564,metabolism-related diseases,0
hsa_circ_0049657,lupus nephritis,0
circslc8a1,melanoma,0
hsa_circ_0005267,chronic thromboembolic pulmonary hypertension,0
circrna_100284,liver neoplasms,1
circ_0004712,endometriosis,1
circrna_15698,"carcinoma, mucoepidermoid",0
hsa_circ_0001410,t2dm with depression,0
hsa_circ_0001038,uterine cervical neoplasms,1
hsa_circ_101280,"carcinoma, hepatocellular",1
circrip2,endometriosis,0
circkdm4c,endometriosis,0
hsa_circrna11806-28,ovarian neoplasms,0
circrna_11109,rheumatic heart disease,1
hsa_circ_0002362,"carcinoma, ovarian epithelial",0
hsa_circ_0053743,retinal neurodegeneration,0
hsa_circ_0123996,hypertension,0
circ-nsd2,"liver cirrhosis, biliary",0
hsa_circ_0049657,"leukemia, myeloid, acute",1
hsa_circ_006100,stomach neoplasms,1
hsa_circrna_014213,esophageal squamous cell carcinoma,0
hsa_circ_0068871,lung squamous cell carcinoma,0
hsa_circ_0005230,cholangiocarcinoma,1
circslc7a6,prostatic neoplasms,1
hsa_circ_0006801,"osteoporosis, postmenopausal",1
circrna_0084043,t2dm with depression,0
circ_stk17a,"epilepsy, temporal lobe",1
hsa_circrna_14623,laryngeal neoplasms,0
hsa_circ_00001666,hypertension,0
hsa_circ_0045714,"leukemia, myelogenous, chronic, bcr-abl positive",0
hsa_circ_0091702,intervertebral disc degeneration,1
circ-znf652,"carcinoma, renal cell",1
hsa_circ_0007059,lung neoplasms,1
hsa_circrna_102116,myocardial infarction,0
hsa_circ_0001429,myocardial infarction,0
hsa_circ_100338,"carcinoma, hepatocellular",1
hsa_circ_0000199,atherosclerosis,0
circnrip1,metabolism-related diseases,0
circmllt10,cholangiocarcinoma,0
hsa_circrna_014213,"thyroid cancer, papillary",1
hsa_circ_0103552,breast neoplasms,1
circptpn22,"diabetes, gestational",0
circrna_0001073,aortic aneurysm,0
hsa_circ_0000799,urinary bladder neoplasms,1
hsa_circ_0074026,myocardial senescence,0
hsa_circ_0057762,"carcinoma, hepatocellular",0
hsa_circ_0062019,endometriosis,0
hsa_circ_0005273,endometrial neoplasms,0
hsa_circrna_406557,alzheimer disease,0
hsa_circ_001569,"carcinoma, hepatocellular",1
hsa_circrna_105055,colorectal neoplasms,1
circ-notch1,stomach neoplasms,1
hsa_circrna_101408,"thyroid cancer, papillary",1
circ_sdha,tuberculosis,0
hsa_circ_0003998,"carcinoma, non-small-cell lung",1
hsa_circ_402458,"liver cirrhosis, biliary",1
hsa_circ_0000977,myocardial infarction,0
hsa_circ_0008450,"carcinoma, hepatocellular",1
hsa_circ_000839,"carcinoma, hepatocellular",1
hsa_circ_0000376,urinary bladder neoplasms,0
hsa_circ_0002346,adenocarcinoma of lung,1
hsa_circ_0035483,"carcinoma, renal cell",1
hsa_circ_0004015,"carcinoma, non-small-cell lung",1
hsa_circ_0019069,ovarian neoplasms,0
cirs-133,stomach neoplasms,1
hsa_circ_0091570,cutaneous squamous cell carcinoma,0
hsa_circ_0000681,"tuberculosis, pulmonary",1
circmat2b,"carcinoma, hepatocellular",1
hsa_circ_0040705,"lupus erythematosus, systemic",1
circkdm4c,breast neoplasms,1
hsa_circ_0081108,breast neoplasms,0
circptn,diabetic nephropathies,0
hsa_circ_0052112,breast neoplasms,1
hsa_circrna_102761,colorectal neoplasms,1
hsa_circ_0088452,cholangiocarcinoma,0
hsa_circ_0025039,herpes simplex,0
hsa_circ_0000190,osteosarcoma,1
circrna_09585,nasopharyngeal carcinoma,0
circzfr,essential hypertension,0
hsa_circ_0076248,multiple system atrophy,0
circmylk,urinary bladder neoplasms,1
circdync1h1,"carcinoma, hepatocellular",1
circ_aff2,"leukemia, myeloid, acute",0
hsa_circ_0072309,breast neoplasms,1
circrna_104871,colorectal neoplasms,0
circrna_000911,adenocarcinoma of lung,0
circubap2,lung neoplasms,1
hsa_circ_0015756,"carcinoma, hepatocellular",1
hsa_circ_0001821,immunosenescence,0
hsa_circ_0137439,urinary bladder neoplasms,1
hsa_circ_0072088,irradiated hepatic stellate cell,0
hsa_circ_101873,"liver cirrhosis, biliary",0
hsa_circ_0014243,retinal neurodegeneration,0
circrna_104670,intervertebral disc degeneration,1
hsa_circ_0004136,coronary artery disease,0
hsa_circ_0005620,"depressive disorder, major",1
circctdp1,melanoma,0
circctdp1,urinary bladder neoplasms,1
hsa_circ_0009910,"carcinoma, hepatocellular",1
circtnfrsf21,endometrial neoplasms,1
hsa_circ_0076248,glioma,1
hsa_circ_0092012,cardiac senescence,0
hsa_circ_0103552,inflammatory bowel diseases,0
hsa_circrna_004662,"thyroid cancer, papillary",1
cznf292,heart failure,1
hsa_circ_0005620,lung neoplasms,0
hsa_circ_0014130,"carcinoma, non-small-cell lung",1
circ-ldlrad3,liver cirrhosis,0
hsa_circrna_404686,repeated implantation failure,1
hsa_circ_0072668,crohn disease,0
hsa_circ_0004771,esophageal squamous cell carcinoma,1
hsa_circ_0072309,"carcinoma, renal cell",1
hsa_circrna_046843,"carcinoma, ovarian epithelial",0
circrna7752,laryngeal neoplasms,0
hsa_circ_004183,fatty liver,1
hsa_circ_0002142,infantile hemangioma,0
circmto1,rectal neoplasms,1
hsa_circ_0003171,"vitreoretinopathy, proliferative",0
hsa_circrna_100914,moyamoya disease,1
hsa_circ_0012129,esophageal neoplasms,0
circrpms1,"epilepsy, temporal lobe",0
cttn4,heart failure,1
hsa_circ_0074027,"carcinoma, non-small-cell lung",1
circrna-acap2,essential hypertension,0
hsa_circ_0001900,lung squamous cell carcinoma,0
circdennd4c,colonic neoplasms,1
circhiat1,retinal neurodegeneration,0
hsa_circ_0056731,active tuberculosis,0
circrna_5692,myocardial senescence,0
circ_sdha,stomach neoplasms,0
circwhsc1,ovarian neoplasms,1
hsa_circ_0000190,multiple myeloma,1
circrna_101368,multiple system atrophy,0
circ-cep85l,stomach neoplasms,1
hsa_circ_0052012,cholangiocarcinoma,0
hsa_circ_0008717,precursor t-cell lymphoblastic leukemia-lymphoma,0
hsa_circ_0008365,mucocutaneous lymph node syndrome,0
circlarp4,"carcinoma, hepatocellular",1
circatp2b1,active pulmonary tuberculosis,0
circhipk3,glioma,1
hsa_circrna_009024,"leukemia, lymphocytic, chronic, b-cell",0
hsa_circ_0006528,breast neoplasms,1
hsa_circ_0056836,liver cirrhosis,0
hsa_circ_0020397,irradiated hepatic stellate cell,0
hsa_circrna_004183,repeated implantation failure,1
hsa_circ_0025202,cholangiocarcinoma,0
circsept9,carotid plaque rupture,0
hsa_circ_052372,retinal neurodegeneration,0
circnrip1,pre-eclampsia,0
hsa_circ_0040705,"diabetes mellitus, type 2",0
hsa_circ_0005105,ovarian neoplasms,0
circrna_0072309,liver neoplasms,1
hsa_circ_0006282,lymphangiogenesis,0
hsa_circ_0052012,diabetes mellitus,0
circfat1,osteosarcoma,1
circ-prkci,"arthritis, rheumatoid",0
hsa_circ_0001955,infantile hemangioma,0
hsa_circ_0000729,adenocarcinoma of lung,1
circslc3a2,crohn disease,0
hsa_circ_0003855,retinal neurodegeneration,0
hsa_circ_0068087,"diabetes mellitus, type 2",1
circptpn22,"depressive disorder, major",0
circsmo742,prostatic neoplasms,0
hsa_circ_0074027,glioblastoma,1
hsa_circ_0044235,lung squamous cell carcinoma,0
hsa_circ_0006801,lupus nephritis,0
hsa_circ_0124644,"carcinoma, ovarian epithelial",0
circtcf25,osteosarcoma,1
hsa_circ_0101432,"carcinoma, hepatocellular",1
circrna_0016624,retinal neurodegeneration,0
hsa_circ_0003028,"lymphoma, large b-cell, diffuse",0
circrna_000284,diabetes mellitus,0
hsa_circ_0002161,essential hypertension,1
circfgfr3,"carcinoma, non-small-cell lung",1
hsa_circ_001783,breast neoplasms,1
circgucy1a2,adenocarcinoma of lung,0
hsa_circ_0001946,glioblastoma,1
circ-abcb10,breast neoplasms,1
circ-cdyl,retinoblastoma,0
hsa_circ_0037911,hypertension,0
hsa_circ_0019069,diabetic retinopathy,1
hsa_circ_0056618,"leukemia, lymphocytic, chronic, b-cell",0
circ_0043144,"vitreoretinopathy, proliferative",1
hsa_circrna_000598,osteoarthritis,1
circrna_11017,diabetic retinopathy,0
hsa_circ_0092374,"lupus erythematosus, systemic",1
circrna-0067835,"epilepsy, temporal lobe",1
circman2b2,lung neoplasms,1
circ-ash2l,"carcinoma, pancreatic ductal",1
circ_0002198,endometriosis,1
circslc8a1,"leukemia, lymphocytic, chronic, b-cell",0
circ-ash2l,fatty liver,0
hsa_circ_0068489,multiple myeloma,0
circhipk3,liver neoplasms,1
circdock1,coronary atherosclerotic heart disease,0
circ_specc1,stomach neoplasms,1
circrna_100146,"carcinoma, non-small-cell lung",1
hsa_circ_0005963,"leukemia, myelogenous, chronic, bcr-abl positive",0
circprrc2a,"carcinoma, renal cell",1
circ-foxo3,"carcinoma, non-small-cell lung",1
hsa_circ_0000218,colorectal neoplasms,1
hsa_circ_0009910,"leukemia, myeloid, acute",1
hsa_circ_0000517,"liver diseases, alcoholic",0
hsa_circ_cspp1,cardiac fibrosis,0
circ-zeb1.33,"carcinoma, hepatocellular",1
hsa_circrna_091420,prostatic neoplasms,1
hsa_circ_0008797,"tuberculosis, pulmonary",1
circnf1,moyamoya disease,0
hsa_circ_0001821,leukoaraiosis,0
hsa_circrna_100833,lung neoplasms,1
circ-pitx1,glioma,1
circdync1h1,retinal neurodegeneration,0
hsa_circ_0001658,osteosarcoma,1
hsa_circ_0008078,"leukemia, myeloid, acute",1
hsa_circ_004183,diabetic nephropathies,0
hsa_circ_0041946,inflammatory bowel diseases,0
circlpar1,"lupus erythematosus, systemic",0
hsa_circ_0018508,"diabetes mellitus, type 2",1
hsa_circ_0014130,adenocarcinoma of lung,1
circptn,glioma,1
circrna_0005941,acne vulgaris,1
hsa_circ_0071662,cardiovascular diseases,0
hsa_circ_0092303,stomach neoplasms,1
hsa_circ_000926,"carcinoma, renal cell",1
hsa_circrna_104964,colonic neoplasms,0
circabcc2,"carcinoma, hepatocellular",1
circlarp4,ovarian neoplasms,1
hsa_circ_0007874,ovarian neoplasms,1
circhipk3,lung neoplasms,1
has_circ_0049220,"lupus erythematosus, systemic",1
circrna_001275,mucocutaneous lymph node syndrome,0
hsa_circ_0062389,liver neoplasms,0
cmras,adenocarcinoma of lung,1
hsa_circ_0063781,facet joint osteoarthritis,1
hsa_circ_0006404,prostatic neoplasms,1
circ_drosha,"depressive disorder, major",0
circubap2,esophageal squamous cell carcinoma,1
hsa_circ_0003519,active pulmonary tuberculosis,1
hsa_circ_0039569,endometrial neoplasms,1
hsa_circ_0046701,glioma,1
hsa_circ_0051079,osteosarcoma,1
hsa_circ_0037251,"liver cirrhosis, biliary",0
circ-nsd2,diabetic retinopathy,0
hsa_circ_0087206,diabetic retinopathy,1
hsa_circ_0053277,laryngeal neoplasms,0
circ-postn,glioma,1
hsa_circ_0124644,coronary artery disease,1
hsa_circ_0068087,diabetes mellitus,1
circ-akt3,lung neoplasms,1
hsa_circrna_0007874,"carcinoma, hepatocellular",1
hsa_circ_0001785,osteosarcoma,1
hsa_circ_0071410,"carcinoma, ovarian epithelial",0
circ_vps37c,"epilepsy, temporal lobe",1
hsa_circ_0003171,hematopoiesis,0
circ-cdyl,multiple sclerosis,0
circrna-cer,thyroid neoplasms,0
circpvt1,esophageal neoplasms,1
hsa_circ_0050898,moyamoya disease,1
circ-znf609,liver neoplasms,0
hsa_circ_0004136,"leukemia, myeloid, acute",1
hsa_circ_0001866,"lupus erythematosus, systemic",1
hsa_circ_0032970,"carcinoma, pancreatic ductal",0
hsa_circ_0136666,infantile hemangioma,0
hsa_circ_0024892,hirschsprung disease,0
hsa_circ_0137008,repeated implantation failure,0
hsa_circ_0060428,herpes simplex,0
circslc3a2,"diabetes mellitus, type 2",0
circlpar1,urinary bladder neoplasms,1
circ-ezh2,glioma,1
hsa_circ_0075001,"leukemia, myeloid, acute",1
hsa_circ_0023115,endometriosis,1
hsa_circ_0000519,glioma,0
circ-itch,"thyroid cancer, papillary",1
hsa_circ_103783,acne vulgaris,0
circhiat1,stomach neoplasms,1
hsa_circ_0012342,myocardial infarction,0
hsa_circ_0000408,leukoaraiosis,0
circrna6783,breast neoplasms,0
circman2b2,liver cirrhosis,0
circ_101222,pre-eclampsia,1
hsa_circ_0036877,pre-eclampsia,1
circepsti1,ovarian neoplasms,1
circ-ptprz1,glioma,1
hsa_circ_407176,chronic thromboembolic pulmonary hypertension,0
circ_usp9y,"epilepsy, temporal lobe",1
circrna_0086376,acne vulgaris,1
hsa_circ_0033550,uterine cervical neoplasms,1
hsa_circ_0002113,"tuberculosis, pulmonary",1
hsa_circ_0087862,"carcinoma, non-small-cell lung",1
hsa_circ_0000673,"diabetes, gestational",0
hsa_circrna_104854,multiple system atrophy,0
circ-pgam1,moyamoya disease,0
circslc8a1,cardiovascular diseases,1
hsa_circ_0000993,ischemic stroke,0
circabcc4,prostatic neoplasms,1
circ-cep85l,"carcinoma, non-small-cell lung",0
hsa_circ_0025202,breast neoplasms,1
hsa_circ_0023903,"leukemia, lymphocytic, chronic, b-cell",0
hsa_circ_0001742,lymphangiogenesis,0
hsa_circ_0050898,hepatoblastoma,0
circfarsa,"lupus erythematosus, systemic",0
hsa_circ_0007385,"carcinoma, non-small-cell lung",1
hsa_circ_0020397,irradiated hepatic stellate cell,0
hsa_circ_0000140,squamous cell carcinoma of head and neck,1
circrna6783,herpes simplex,1
hsa_circ_0023903,moyamoya disease,1
hsa_circ_0057481,myocardial infarction,0
hsa_circ_0051172,coronary artery disease,1
hsa_circ_0000594,lupus nephritis,0
circadamts13,"carcinoma, hepatocellular",1
circrna_0001073,"epilepsy, temporal lobe",0
circpvt1,adenocarcinoma of lung,1
circrapgef5,infantile hemangioma,0
circ-abcb10,"carcinoma, hepatocellular",1
hsa_circ_0000993,stomach neoplasms,1
hsa_circ_0005870,adenocarcinoma of lung,0
hsa_circrna_104871,"arthritis, rheumatoid",1
circ-hipk2,hepatoblastoma,0
hsa_circ_0035560,"diabetes, gestational",0
hsa_circrna_104296,t2dm with depression,0
hsa_circ_0009361,colorectal neoplasms,1
hsa_circ_082319,"carcinoma, hepatocellular",0
hsa_circrna_092516,"arthritis, rheumatoid",1
circ-foxm1,"thyroid cancer, papillary",1
circ-adam9,pancreatic neoplasms,1
hsa_circ_0000654,"leukemia, myeloid, acute",0
hsa_circ_0018069,diabetes mellitus,0
hsa_circ_0001400,multiple sclerosis,1
hsa_circ_0014359,glioma,1
circ-pgam1,colonic neoplasms,0
circatrnl1,ischemic stroke,0
hsa_circ_0124644,"leukemia, promyelocytic, acute",0
circ-rangap1,multiple myeloma,0
hsa_circ_0072391,ischemic stroke,0
circcep128,hypertension,0
hsa_circ_0053743,osteoporosis,0
hsa_circ_0016760,mucocutaneous lymph node syndrome,0
hsa_circ_004121,fatty liver,1
hsa_circ_0006168,intervertebral disc degeneration,0
circptpn22,cardiovascular diseases,0
hsa_circ_0028882,esophageal neoplasms,0
hsa_circ_0005230,"liver diseases, alcoholic",0
hsa_circ_0072309,hypopharyngeal neoplasms,0
hsa_circ_0089378,"epilepsy, temporal lobe",0
hsa_circ_0072309,"carcinoma, non-small-cell lung",1
hsa_circ_0071896,"lymphoma, large b-cell, diffuse",0
circ-ttbk2,glioma,1
hsa_circ_402458,silicosis,0
hsa_circ_0051443,"carcinoma, hepatocellular",1
circfoxo3,urinary bladder neoplasms,0
hsa_circ_0006282,stomach neoplasms,1
circrhoc,ovarian neoplasms,1
circzc3h4,silicosis,1
circpvt1,stomach neoplasms,1
circrna_100284,lymphangiogenesis,0
hsa_circ_0002078,"carcinoma, ovarian epithelial",0
circirak3,breast neoplasms,1
hsa_circrna_104964,"lupus erythematosus, systemic",0
hsa_circ_0001410,urinary bladder neoplasms,0
hsa_circ_0006168,acne vulgaris,0
hsa_circ_0091570,"carcinoma, hepatocellular",1
circ-scarb1,squamous cell carcinoma of head and neck,1
hsa_circ_0008615,"lupus erythematosus, systemic",1
hsa_circ_0034398,colonic neoplasms,0
circrna_0072309,cardiovascular diseases,0
hsa_circrna_406918,diabetic retinopathy,1
hsa_circ_0001204,tuberculosis,1
circ_vps37c,vascular endothelial dysfunction,0
cdr1as,osteosarcoma,1
hsa_circrna_002178,breast neoplasms,1
hsa_circ_000367,fatty liver,1
hsa_circrna_102116,infantile hemangioma,1
circ-pgam1,endometriosis,0
hsa_circ_0001982,breast neoplasms,1
hsa_circ_0072995,primary great saphenous vein varicosities,0
circptgr1,"carcinoma, hepatocellular",1
hsa_circ_cspp1,squamous cell carcinoma of head and neck,0
hsa_circ_0113854,coronary artery disease,1
hsa_circ_0064996,"arthritis, rheumatoid",1
hsa_circ_003524,"arthritis, rheumatoid",1
cdr1as,nasopharyngeal carcinoma,1
hsa_circ_0000414,multiple sclerosis,0
hsa_circ_0015758,glioma,1
hsa_circ_103809,nasopharyngeal carcinoma,0
hsa_circ_000361,"leukemia, lymphocytic, chronic, b-cell",0
circ_ubqln1,"epilepsy, temporal lobe",1
circibtk,"lupus erythematosus, systemic",1
hsa_circ_0067209,moyamoya disease,1
hsa_circrna_100533,ovarian neoplasms,0
hsa_circrna_100833,ovarian neoplasms,0
hsa_circ_102533,leukoaraiosis,1
circrna6783,myocardial infarction,0
hsa_circ_0000567,"prostatic neoplasms, castration-resistant",0
circzc3h4,diabetes mellitus,0
circ-prkci,"carcinoma, hepatocellular",1
hsa_circ_0005239,diabetic retinopathy,0
hsa_circrna_404686,myocardial senescence,0
hsa_circ_0083357,coronary artery disease,1
hsa_circrna11806-28,"diabetes mellitus, type 2",1
circ_103546,crohn disease,1
hsa_circ_0000073,breast neoplasms,1
circrna_8924,squamous cell carcinoma of head and neck,0
hsa_circ_0001821,ischemic stroke,0
circbmpr2,breast neoplasms,1
hsa_circ_001598,ischemic stroke,0
hsa_circ_0037909,essential hypertension,1
hsa_circ_0000291,stomach neoplasms,1
hsa_circ_0030569,tuberculosis,1
hsa_circ_0000479,"leukemia, myeloid, acute",0
hsa_circ_0053277,active tuberculosis,0
hsa_circ_0006916,glucocorticoid-induced osteonecrosis of femoral head,0
circ_katnal1,prostatic neoplasms,1
hsa_circ_402458,squamous cell carcinoma of head and neck,0
circpicalm,urinary bladder neoplasms,1
circ-banp,lung neoplasms,1
circfgfr3,"liver cirrhosis, biliary",0
hsa_circ_0026134,primary great saphenous vein varicosities,0
hsa_circ_0006916,lung neoplasms,1
hsa_circ_0051443,endometrial neoplasms,0
hsa_circ_0021549,"lupus erythematosus, systemic",1
hsa_circ_0062557,endometriosis,1
hsa_circ_0000263,active tuberculosis,0
circ-ldlrad3,pancreatic neoplasms,1
hsa_circ_0000254,ischemic stroke,0
hsa_circ_092516,"arthritis, rheumatoid",1
hsa_circ_0007385,diabetic nephropathies,0
hsa_circ_0000092,"carcinoma, hepatocellular",1
hsa_circ_0007534,colorectal neoplasms,1
circptpra,"carcinoma, non-small-cell lung",1
hsa_circ_0136666,colorectal neoplasms,1
hsa_circ_0000378,esophageal squamous cell carcinoma,0
circfarsa,prostatic neoplasms,0
circ_ankib1,rheumatic heart disease,0
circatrnl1,squamous cell carcinoma of head and neck,1
hsa_circ_0004458,lung squamous cell carcinoma,0
hsa_circ_0000554,esophageal neoplasms,1
circabcc2,primary great saphenous vein varicosities,0
circamotl1l,irradiated hepatic stellate cell,0
hsa_circ_0063179,"tuberculosis, pulmonary",1
hsa_circrna_104964,urinary bladder neoplasms,0
hsa_circ_0001649,"carcinoma, hepatocellular",1
circubap2,osteosarcoma,0
circnek6,gallbladder neoplasms,0
hsa_circrna_103387,osteoarthritis,1
hsa_circ_0001361,hypertension,0
hsa_circ_0001206,prostatic neoplasms,1
hsa_circ_0032627,stomach neoplasms,1
hsa_circ_0020397,"carcinoma, mucoepidermoid",0
hsa_circ_0056836,breast neoplasms,0
hsa_circ_0101432,aortic aneurysm,0
circadamts14,"carcinoma, hepatocellular",1
hsa_circ_0002362,"tuberculosis, pulmonary",1
hsa_circ_0072391,hepatoblastoma,1
hsa_circrna_101764,"carcinoma, hepatocellular",1
hsa_circ_0002062,chronic thromboembolic pulmonary hypertension,1
hsa_circ6510-1,coronary artery disease,1
hsa_circ_0059655,salivary adenoid cystic carcinoma,1
hsa_circ_0032970,coronary artery disease,1
hsa_circ_0052012,glioma,0
hsa_circ_0035381,"leukemia, myeloid, acute",1
hsa_circ_0000735,vascular endothelial dysfunction,0
circ kmt2e,"diabetes, gestational",0
circvangl1,osteosarcoma,0
circfgfr1,"carcinoma, non-small-cell lung",1
circ-ash2l,metabolism-related diseases,0
hsa_circ_0008287,hypopharyngeal neoplasms,1
hsa_circ_0093996,"hemorrhagic fever, ebola",0
hsa_circ_0023404,uterine cervical neoplasms,1
hsa_circ_00001666,colonic neoplasms,1
circrna_09585,carotid plaque rupture,0
hsa_circ_082319,"liver cirrhosis, biliary",1
hsa_circ_0021093,"carcinoma, hepatocellular",1
hsa_circ_0009910,"liver diseases, alcoholic",0
cttn5,heart failure,1
hsa_circ_0064996,ischemic stroke,0
circ-rangap1,stomach neoplasms,1
hsa_circ_0000414,"tuberculosis, pulmonary",1
circ-znf609,colorectal neoplasms,1
hsa_circ_0008078,chronic thromboembolic pulmonary hypertension,0
hsa_circ_0038374,sciatica,0
hsa_circ_0000517,osteoarthritis,0
