miRNA,disease
mir-518d-5p,uterine cervical neoplasms
mir-150-5p,uterine cervical neoplasms
mir-326,uterine cervical neoplasms
mir-337-3p,uterine cervical neoplasms
mir-620,uterine cervical neoplasms
mir-485-5p,uterine cervical neoplasms
mir-153-3p,uterine cervical neoplasms
mir-498,uterine cervical neoplasms
mir-5047,uterine cervical neoplasms
mir-139-3p,uterine cervical neoplasms
mir-942-5p,uterine cervical neoplasms
mir-361-3p,uterine cervical neoplasms
mir-545,uterine cervical neoplasms
mir-149-5p,uterine cervical neoplasms
mir-335,uterine cervical neoplasms
mir-361-5p,uterine cervical neoplasms
mir-8075,uterine cervical neoplasms
mir-33b,uterine cervical neoplasms
mir-93,uterine cervical neoplasms
mir-1238,cholangiocarcinoma
mir-1299,cholangiocarcinoma
mir-607,"leukemia, lymphocytic, chronic, b-cell"
mir-29b,"leukemia, myelogenous, chronic, bcr-abl positive"
mir-204-3p,"carcinoma, renal cell"
mir-153,"carcinoma, renal cell"
mir-296-5p,"carcinoma, renal cell"
mir-195-5p,"carcinoma, renal cell"
mir-29c-3p,"carcinoma, renal cell"
mir-29a-3p,"carcinoma, renal cell"
mir-150-5p,colonic neoplasms
mir-760,colonic neoplasms
mir-1273a,colonic neoplasms
mir-21-5p,colonic neoplasms
mir-1229,colonic neoplasms
mir-338-3p,colonic neoplasms
mir-122,colonic neoplasms
mir-518c-5p,colonic neoplasms
mir-106b-5p,colonic neoplasms
mir-6778-5p,colorectal neoplasms
mir-149,colorectal neoplasms
mir-613,colorectal neoplasms
mir-7,colorectal neoplasms
mir-370-3p,colorectal neoplasms
mir-199b-5p,colorectal neoplasms
mir-377,colorectal neoplasms
mir-145,colorectal neoplasms
mir-516b,colorectal neoplasms
mir-150,colorectal neoplasms
mir-139-3p,colorectal neoplasms
mir-31,colorectal neoplasms
mir-328-5p,colorectal neoplasms
mir-31-5p,colorectal neoplasms
mir-1182,colorectal neoplasms
mir-101-3p,colorectal neoplasms
mir-582,colorectal neoplasms
mir-21,colorectal neoplasms
mir-2467-3p,colorectal neoplasms
mir-1236-3p,colorectal neoplasms
mir-600,colorectal neoplasms
mir-532-3p,colorectal neoplasms
mir-203a-3p.1,colorectal neoplasms
mir-136,colorectal neoplasms
mir-338-5p,colorectal neoplasms
mir-597-5p,colorectal neoplasms
mir-216b,colorectal neoplasms
mir-128,colorectal neoplasms
mir-214,colorectal neoplasms
mir-20a,colorectal neoplasms
mir-17,colorectal neoplasms
mir-138,colorectal neoplasms
mir-1238,cutaneous squamous cell carcinoma
mir-1247-5p,cutaneous squamous cell carcinoma
mir-765,cutaneous squamous cell carcinoma
mir-139b-5p,cutaneous squamous cell carcinoma
mir-665,cutaneous squamous cell carcinoma
mir-495-3p,cutaneous squamous cell carcinoma
mir-873-5p,cutaneous squamous cell carcinoma
mir-299-3p,cutaneous squamous cell carcinoma
mir-93-3p,cutaneous squamous cell carcinoma
mir-181a-2-3p,cutaneous squamous cell carcinoma
mir-23b-5p,cutaneous squamous cell carcinoma
mir-888,"lymphoma, large b-cell, diffuse"
mir-542-3p,endometrial neoplasms
let-7c-5p,endometrial neoplasms
mir-1227,endometrial neoplasms
mir-197,endometrial neoplasms
mir-149-5p,endometrial neoplasms
mir-1271,"carcinoma, ovarian epithelial"
mir-203,"carcinoma, ovarian epithelial"
mir-1252,"carcinoma, ovarian epithelial"
mir-10a,"carcinoma, ovarian epithelial"
mir-542-3p,"carcinoma, ovarian epithelial"
mir-5095,esophageal neoplasms
mir-370-3p,esophageal neoplasms
mir-384,esophageal neoplasms
mir-30c-1*,esophageal neoplasms
mir-1912,esophageal neoplasms
mir-339-5p,esophageal neoplasms
mir-139-3p,esophageal neoplasms
mir-122*,esophageal neoplasms
mir-30c-2*,esophageal neoplasms
mir-4663,esophageal neoplasms
mir-7,esophageal squamous cell carcinoma
mir-149-5p,esophageal squamous cell carcinoma
mir-339-5p,esophageal squamous cell carcinoma
mir-100,esophageal squamous cell carcinoma
mir-490-3p,esophageal squamous cell carcinoma
mir-3680-3p,esophageal squamous cell carcinoma
mir-422a,esophageal squamous cell carcinoma
mir-624-3p,esophageal squamous cell carcinoma
mir-670-5p,esophageal squamous cell carcinoma
mir-124,gallbladder neoplasms
mir-370,gallbladder neoplasms
mir-7,stomach neoplasms
mir-526b,stomach neoplasms
mir-4319,stomach neoplasms
mir-942-5p,stomach neoplasms
mir-1231,stomach neoplasms
mir-1256,stomach neoplasms
mir-335,stomach neoplasms
mir-503,stomach neoplasms
mir-637,stomach neoplasms
mir-21,stomach neoplasms
mir-107,stomach neoplasms
mir-509-3-5p,stomach neoplasms
mir-3200-5p,stomach neoplasms
mir-449c-5p,stomach neoplasms
mir-149-5p,stomach neoplasms
mir-186-5p,stomach neoplasms
mir-145,stomach neoplasms
mir-1304,stomach neoplasms
mir-296-5p,stomach neoplasms
mir-124-3p,stomach neoplasms
mir-877-3p,stomach neoplasms
mir-153,stomach neoplasms
mir-654-3p,stomach neoplasms
mir-4516,stomach neoplasms
mir-1227-5p,stomach neoplasms
mir-497-5p,stomach neoplasms
mir-182-5p,stomach neoplasms
mir-367-5p,stomach neoplasms
mir-130a,stomach neoplasms
mir-133,stomach neoplasms
mir-198,stomach neoplasms
mir-503-5p,stomach neoplasms
mir-183,stomach neoplasms
mir-375,stomach neoplasms
mir-326-3p,stomach neoplasms
mir-139-3p,stomach neoplasms
mir-33a-3p,stomach neoplasms
mir-367-3p,stomach neoplasms
mir-200,stomach neoplasms
mir-532-5p,stomach neoplasms
mir-214-5p,stomach neoplasms
mir-6506-5p,stomach neoplasms
mir-548g,stomach neoplasms
mir-421,stomach neoplasms
mir-150-5p,stomach neoplasms
mir-149,stomach neoplasms
mir-145-5p,stomach neoplasms
mir-155,stomach neoplasms
mir-329-5p,stomach neoplasms
mir-16-5p,stomach neoplasms
mir-136-5p,stomach neoplasms
mir-671-5p,stomach neoplasms
mir-101-3p,stomach neoplasms
mir-502-5p,stomach neoplasms
mir-206,stomach neoplasms
mir-4269,stomach neoplasms
mir-195,stomach neoplasms
mir-515-5p,stomach neoplasms
mir-646,stomach neoplasms
mir-331-3p,stomach neoplasms
mir-197-3p,stomach neoplasms
mir-16,stomach neoplasms
mir-138-5p,glioblastoma
mir-432-5p,glioblastoma
mir-92,glioblastoma
mir-422a,glioblastoma
mir-379-5p,glioblastoma
mir-628-5p,glioblastoma
mir-671-5p,glioblastoma
mir-7161-3p,glioblastoma
mir-5195-3p,glioblastoma
mir-140-3p,glioblastoma
mir-6783-3p,glioblastoma
mir-1257,glioblastoma
mir-518a-5p,glioblastoma
mir-124,glioblastoma
mir-516b,glioma
mir-527,glioma
mir-103a-3p,glioma
mir-382-5p,glioma
mir-1265,glioma
mir-654,glioma
mir-214,glioma
mir-139-3p,glioma
mir-1205,glioma
mir-34a-5p,glioma
mir-329-3p,glioma
mir-145-5p,glioma
mir-330-5p,glioma
mir-1261,glioma
mir-421,glioma
mir-338-3p,glioma
mir-761,glioma
mir-4493,glioma
mir-638,glioma
mir-224-5p,glioma
mir-625-5p,glioma
mir-1294,glioma
mir-890,glioma
mir-661,glioma
mir-153,glioma
mir-149,glioma
mir-138-5p,glioma
mir-1229-3p,glioma
mir-142-3p,glioma
mir-125a-3p,glioma
mir-7-5p,glioma
mir-1183,glioma
mir-1304,glioma
mir-1236-3p,glioma
mir-182,glioma
mir-433,glioma
let-7,glioma
mir-217,glioma
mir-544a,glioma
mir-379,glioma
mir-181a,glioma
mir-193b-3p,squamous cell carcinoma of head and neck
mir-488-3p,squamous cell carcinoma of head and neck
mir-217,liver neoplasms
mir-1250-3p,hepatoblastoma
mir-503-5p,hepatoblastoma
mir-346,"carcinoma, hepatocellular"
mir-340-5p,"carcinoma, hepatocellular"
mir-452-5p,"carcinoma, hepatocellular"
mir-665,"carcinoma, hepatocellular"
mir-484,"carcinoma, hepatocellular"
mir-572,"carcinoma, hepatocellular"
mir-326,"carcinoma, hepatocellular"
mir-532-5p,"carcinoma, hepatocellular"
mir-4641,"carcinoma, hepatocellular"
mir-892a,"carcinoma, hepatocellular"
mir-328-3p,"carcinoma, hepatocellular"
mir-140-5p,"carcinoma, hepatocellular"
mir-875-3p,"carcinoma, hepatocellular"
mir-421,"carcinoma, hepatocellular"
mir-3171,"carcinoma, hepatocellular"
mir-124,"carcinoma, hepatocellular"
mir-1322,"carcinoma, hepatocellular"
mir-761,"carcinoma, hepatocellular"
mir-217,"carcinoma, hepatocellular"
mir-338-3p,"carcinoma, hepatocellular"
mir-362-3p,"carcinoma, hepatocellular"
mir-506,"carcinoma, hepatocellular"
mir-545,"carcinoma, hepatocellular"
mir-188-5p,"carcinoma, hepatocellular"
mir-449a,"carcinoma, hepatocellular"
mir-138,"carcinoma, hepatocellular"
mir-200a,"carcinoma, hepatocellular"
mir-103,"carcinoma, hepatocellular"
mir-218-5p,"carcinoma, hepatocellular"
mir-328-5p,"carcinoma, hepatocellular"
mir-490-3p,"carcinoma, hepatocellular"
mir-629,"carcinoma, hepatocellular"
mir-486-5p,"carcinoma, hepatocellular"
mir-191,"carcinoma, hepatocellular"
mir-200a-3p,"carcinoma, hepatocellular"
mir-3619-5p,"carcinoma, hepatocellular"
mir-767-3p,"carcinoma, hepatocellular"
mir-382,"carcinoma, hepatocellular"
mir-127-5p,"carcinoma, hepatocellular"
mir-4688,"carcinoma, hepatocellular"
mir-612,"carcinoma, hepatocellular"
mir-145-5p,"carcinoma, hepatocellular"
mir-516a-5p,"carcinoma, hepatocellular"
mir-203,"carcinoma, hepatocellular"
mir-502-5p,"carcinoma, hepatocellular"
mir-335,"carcinoma, hepatocellular"
mir-548p,"carcinoma, hepatocellular"
mir-335-5p,"carcinoma, hepatocellular"
mir-411-5p,"carcinoma, hepatocellular"
mir-432-5p,"carcinoma, hepatocellular"
mir-7,"carcinoma, hepatocellular"
mir-486,"carcinoma, hepatocellular"
mir-766-3p,"carcinoma, hepatocellular"
mir-136-5p,"carcinoma, hepatocellular"
mir-640,"carcinoma, hepatocellular"
mir-331-3p,"carcinoma, hepatocellular"
mir-1324,"carcinoma, hepatocellular"
mir-182,"carcinoma, hepatocellular"
mir-31,"carcinoma, hepatocellular"
mir-1307,"carcinoma, hepatocellular"
mir-526b,"carcinoma, hepatocellular"
mir-526c,"carcinoma, hepatocellular"
mir-1258,"carcinoma, hepatocellular"
mir-622,"carcinoma, hepatocellular"
mir-141-3p,"carcinoma, hepatocellular"
mir-375,"carcinoma, hepatocellular"
mir-620,"carcinoma, hepatocellular"
mir-582-3p,"carcinoma, hepatocellular"
mir-181,"carcinoma, hepatocellular"
mir-9,"carcinoma, hepatocellular"
mir-129-5p,"carcinoma, hepatocellular"
mir-200b,"carcinoma, hepatocellular"
mir-490-5p,"carcinoma, hepatocellular"
mir-548c-3p,hypopharyngeal neoplasms
mir-520a-5p,infantile hemangioma
mir-1298-3p,infantile hemangioma
mir-514a-5p,infantile hemangioma
mir-137,infantile hemangioma
mir-2113,infantile hemangioma
mir-892b,infantile hemangioma
mir-518f-3p,infantile hemangioma
mir-499a-3p,infantile hemangioma
mir-489-3p,infantile hemangioma
mir-197-3p,infantile hemangioma
mir-216a-3p,infantile hemangioma
mir-1271-3p,infantile hemangioma
mir-149,cholangiocarcinoma
mir-124,"carcinoma, renal cell"
mir-200c,laryngeal neoplasms
mir-7,squamous cell carcinoma of head and neck
mir-136-5p,squamous cell carcinoma of head and neck
mir-646,squamous cell carcinoma of head and neck
mir-223,squamous cell carcinoma of head and neck
mir-4726-5p,squamous cell carcinoma of head and neck
mir-4640-5p,squamous cell carcinoma of head and neck
mir-302b-3p,squamous cell carcinoma of head and neck
mir-486-3p,squamous cell carcinoma of head and neck
mir-484,liver neoplasms
mir-665,liver neoplasms
mir-490-3p,liver neoplasms
mir-1228,liver neoplasms
mir-570-3p,liver neoplasms
mir-552-3p,liver neoplasms
mir-17-3p,liver neoplasms
mir-124,liver neoplasms
mir-659-3p,liver neoplasms
mir-106a-3p,liver neoplasms
mir-424-5p,liver neoplasms
mir-9-5p,liver neoplasms
mir-3186-3p,adenocarcinoma of lung
mir-22-3p,adenocarcinoma of lung
mir-545,adenocarcinoma of lung
mir-589,adenocarcinoma of lung
mir-326,adenocarcinoma of lung
mir-145-5p,adenocarcinoma of lung
mir-93-5p,adenocarcinoma of lung
mir-1270,adenocarcinoma of lung
mir-567,adenocarcinoma of lung
mir-375,adenocarcinoma of lung
mir-135a-5p,adenocarcinoma of lung
mir-93,adenocarcinoma of lung
mir-182,adenocarcinoma of lung
mir-6783-3p,adenocarcinoma of lung
mir-22,adenocarcinoma of lung
mir-566,adenocarcinoma of lung
mir-665,adenocarcinoma of lung
mir-198,adenocarcinoma of lung
mir-134,adenocarcinoma of lung
mir-556-3p,lung neoplasms
mir-516b-5p,lung neoplasms
mir-503,lung neoplasms
mir-188-3p,lung neoplasms
mir-124,lung neoplasms
mir-1275,lung neoplasms
mir-497,lung neoplasms
mir-522-3p,lung neoplasms
mir-378,lung neoplasms
mir-320a,lung neoplasms
mir-1245,lung neoplasms
mir-1228,lung neoplasms
mir-498,lung neoplasms
mir-4302,lung neoplasms
mir-379,lung neoplasms
let-7,lung neoplasms
mir-339-5p,lung neoplasms
mir-135b-3p,lung neoplasms
mir-96-3p,lung neoplasms
mir-7,lung neoplasms
mir-214,lung neoplasms
mir-186,lung squamous cell carcinoma
mir-873-3p,lung squamous cell carcinoma
mir-136-5p,lung squamous cell carcinoma
mir-153-3p,melanoma
mir-198,melanoma
mir-143-3p,melanoma
mir-1236,melanoma
mir-145,melanoma
mir-429,melanoma
let-7e-5p,"carcinoma, mucoepidermoid"
mir-214-3p,"carcinoma, mucoepidermoid"
mir-107,"carcinoma, mucoepidermoid"
mir-767-5p,multiple myeloma
mir-7-5p,nasopharyngeal carcinoma
mir-4288,nasopharyngeal carcinoma
mir-9,nasopharyngeal carcinoma
mir-203,nasopharyngeal carcinoma
mir-451,nasopharyngeal carcinoma
mir-31,nasopharyngeal carcinoma
mir-577,nasopharyngeal carcinoma
mir-7,"carcinoma, non-small-cell lung"
mir-1183,"carcinoma, non-small-cell lung"
mir-203,"carcinoma, non-small-cell lung"
mir-145,"carcinoma, non-small-cell lung"
mir-330-5p,"carcinoma, non-small-cell lung"
mir-326,"carcinoma, non-small-cell lung"
mir-381-3p,"carcinoma, non-small-cell lung"
mir-22-3p,"carcinoma, non-small-cell lung"
mir-614,"carcinoma, non-small-cell lung"
mir-155,"carcinoma, non-small-cell lung"
mir-630,"carcinoma, non-small-cell lung"
mir-377,"carcinoma, non-small-cell lung"
mir-498,"carcinoma, non-small-cell lung"
mir-382,"carcinoma, non-small-cell lung"
mir-96-5p,"carcinoma, non-small-cell lung"
mir-125b,"carcinoma, non-small-cell lung"
mir-593-3p,"carcinoma, non-small-cell lung"
mir-653-5p,"carcinoma, non-small-cell lung"
mir-361-3p,"carcinoma, non-small-cell lung"
mir-615-5p,"carcinoma, non-small-cell lung"
mir-19b-3p,"carcinoma, non-small-cell lung"
mir-195,"carcinoma, non-small-cell lung"
mir-338-3p,"carcinoma, non-small-cell lung"
mir-1179,"carcinoma, non-small-cell lung"
mir-1182,"carcinoma, non-small-cell lung"
mir-331-3p,"carcinoma, non-small-cell lung"
mir-338-5p,"carcinoma, non-small-cell lung"
mir-181,"carcinoma, non-small-cell lung"
mir-429,"carcinoma, non-small-cell lung"
mir-200b-3p,"carcinoma, non-small-cell lung"
mir-1252,"carcinoma, non-small-cell lung"
mir-544a,"carcinoma, non-small-cell lung"
mir-302e,"carcinoma, non-small-cell lung"
mir-600,"carcinoma, non-small-cell lung"
mir-1287,"carcinoma, non-small-cell lung"
mir-488-3p,"carcinoma, non-small-cell lung"
mir-144,"carcinoma, non-small-cell lung"
mir-1256,"carcinoma, non-small-cell lung"
mir-520f,"carcinoma, non-small-cell lung"
mir-103a-3p,"carcinoma, non-small-cell lung"
mir-545-3p,"carcinoma, non-small-cell lung"
mir-580-3p,"carcinoma, non-small-cell lung"
mir-185-3p,"carcinoma, non-small-cell lung"
mir-296-5p,"carcinoma, non-small-cell lung"
mir-330-3p,"carcinoma, non-small-cell lung"
mir-1253,"carcinoma, non-small-cell lung"
mir-379,"carcinoma, non-small-cell lung"
mir-133a-5p,"carcinoma, non-small-cell lung"
mir-23a-3p,squamous cell carcinoma of head and neck
mir-196a-5p,squamous cell carcinoma of head and neck
mir-124,squamous cell carcinoma of head and neck
mir-204-3p,squamous cell carcinoma of head and neck
mir-125b,squamous cell carcinoma of head and neck
mir-378a,squamous cell carcinoma of head and neck
mir-510-5p,squamous cell carcinoma of head and neck
mir-31,squamous cell carcinoma of head and neck
mir-194,squamous cell carcinoma of head and neck
mir-204,squamous cell carcinoma of head and neck
mir-526b-5p,squamous cell carcinoma of head and neck
mir-1290,squamous cell carcinoma of head and neck
mir-382-5p,squamous cell carcinoma of head and neck
mir-503-5p,squamous cell carcinoma of head and neck
mir-585-5p,squamous cell carcinoma of head and neck
mir-6079,squamous cell carcinoma of head and neck
mir-29a-5p,squamous cell carcinoma of head and neck
mir-933,squamous cell carcinoma of head and neck
mir-7,osteosarcoma
mir-19b,osteosarcoma
mir-1299,osteosarcoma
mir-19a,osteosarcoma
mir-892b,osteosarcoma
mir-375,osteosarcoma
mir-22,osteosarcoma
mir-424,osteosarcoma
mir-1265,osteosarcoma
mir-370-3p,osteosarcoma
mir-1253,osteosarcoma
mir-205-5p,osteosarcoma
mir-136,osteosarcoma
mir-206,osteosarcoma
mir-767-5p,osteosarcoma
mir-766,osteosarcoma
mir-29c-3p,osteosarcoma
mir-382-5p,osteosarcoma
mir-569,osteosarcoma
mir-599,osteosarcoma
mir-1200,osteosarcoma
mir-382,osteosarcoma
mir-1244,osteosarcoma
mir-711,osteosarcoma
mir-449a,osteosarcoma
mir-203a-3p,osteosarcoma
mir-26a-5p,osteosarcoma
mir-1304-5p,osteosarcoma
mir-448,osteosarcoma
mir-125b-5p,osteosarcoma
mir-1236-3p,ovarian neoplasms
mir-942,ovarian neoplasms
mir-646,ovarian neoplasms
mir-647,ovarian neoplasms
mir-449a,ovarian neoplasms
mir-513b-5p,ovarian neoplasms
mir-9,ovarian neoplasms
mir-615-5p,ovarian neoplasms
mir-6753-5p,ovarian neoplasms
mir-302e,ovarian neoplasms
mir-145,ovarian neoplasms
mir-1182,ovarian neoplasms
mir-198,ovarian neoplasms
mir-760,ovarian neoplasms
mir-637,ovarian neoplasms
mir-1228,ovarian neoplasms
mir-217,pancreatic neoplasms
mir-330-5p,pancreatic neoplasms
mir-122,pancreatic neoplasms
mir-137-3p,pancreatic neoplasms
mir-338,pancreatic neoplasms
mir-26b,pancreatic neoplasms
mir-382,pancreatic neoplasms
mir-330,pancreatic neoplasms
mir-125a,pancreatic neoplasms
mir-153,pancreatic neoplasms
mir-378a-3p,pancreatic neoplasms
mir-335-5p,pancreatic neoplasms
mir-33b,pancreatic neoplasms
mir-93,pancreatic neoplasms
mir-34a,"carcinoma, pancreatic ductal"
mir-942,"carcinoma, pancreatic ductal"
mir-892b,"carcinoma, pancreatic ductal"
mir-625,"carcinoma, pancreatic ductal"
mir-377,"carcinoma, pancreatic ductal"
mir-1253,"carcinoma, pancreatic ductal"
mir-1294,"carcinoma, pancreatic ductal"
mir-577,"carcinoma, pancreatic ductal"
mir-144-3p,"carcinoma, pancreatic ductal"
mir-874-3p,"carcinoma, pancreatic ductal"
mir-1179,"thyroid cancer, papillary"
mir-145,"thyroid cancer, papillary"
mir-198,"thyroid cancer, papillary"
mir-1261,"thyroid cancer, papillary"
mir-1231,"thyroid cancer, papillary"
mir-1304,"thyroid cancer, papillary"
mir-22-3p,"thyroid cancer, papillary"
mir-139-5p,"thyroid cancer, papillary"
mir-885-5p,"thyroid cancer, papillary"
mir-1183,"thyroid cancer, papillary"
mir-141-3p,"thyroid cancer, papillary"
mir-200a-3p,"thyroid cancer, papillary"
mir-4520-2-3p,"thyroid cancer, papillary"
mir-4659b-3p,"thyroid cancer, papillary"
mir-4713-5p,"thyroid cancer, papillary"
mir-208b-5p,"thyroid cancer, papillary"
mir-6812-5p,"thyroid cancer, papillary"
mir-5088-5p,"thyroid cancer, papillary"
mir-5572,"thyroid cancer, papillary"
mir-608,"thyroid cancer, papillary"
mir-6819-5p,"thyroid cancer, papillary"
mir-4524a-5p,"thyroid cancer, papillary"
mir-942-5p,"thyroid cancer, papillary"
mir-876-5p,"thyroid cancer, papillary"
mir-3911,"thyroid cancer, papillary"
mir-4753-3p,"thyroid cancer, papillary"
mir-4778-3p,"thyroid cancer, papillary"
mir-103a-2-5p,"thyroid cancer, papillary"
mir-877-3p,"thyroid cancer, papillary"
mir-5193,"thyroid cancer, papillary"
mir-5196-3p,"thyroid cancer, papillary"
mir-136-5p,"thyroid cancer, papillary"
mir-449c-5p,"thyroid cancer, papillary"
mir-34b-5p,"thyroid cancer, papillary"
mir-578,"thyroid cancer, papillary"
mir-500a-5p,"thyroid cancer, papillary"
mir-145-3p,prostatic neoplasms
mir-497,prostatic neoplasms
mir-1182,prostatic neoplasms
mir-193a-5p,prostatic neoplasms
mir-143,prostatic neoplasms
mir-193a-3p,prostatic neoplasms
mir-17-5p,prostatic neoplasms
mir-183,prostatic neoplasms
mir-21,prostatic neoplasms
mir-200,prostatic neoplasms
mir-186-5p,prostatic neoplasms
mir-1285-5p,prostatic neoplasms
mir-29a-3p,prostatic neoplasms
mir-6884,prostatic neoplasms
mir-5008,prostatic neoplasms
mir-29a,prostatic neoplasms
mir-145-5p,prostatic neoplasms
mir-19b-3p,rectal neoplasms
mir-505,"carcinoma, renal cell"
mir-205,"carcinoma, renal cell"
mir-100,"carcinoma, renal cell"
mir-296-3p,"carcinoma, renal cell"
mir-9,"carcinoma, renal cell"
mir-514a-5p,"carcinoma, renal cell"
mir-411,"carcinoma, renal cell"
mir-335,"carcinoma, renal cell"
mir-183,retinoblastoma
mir-338-3p,salivary adenoid cystic carcinoma
mir-615-5p,precursor t-cell lymphoblastic leukemia-lymphoma
mir-370-3p,thyroid neoplasms
mir-361-3p,thyroid neoplasms
mir-940,thyroid neoplasms
mir-1304,thyroid neoplasms
mir-144-3p,thyroid neoplasms
mir-431-5p,squamous cell carcinoma of head and neck
mir-665,squamous cell carcinoma of head and neck
mir-1299,triple negative breast neoplasms
mir-195-5p,triple negative breast neoplasms
mir-214,triple negative breast neoplasms
mir-17,triple negative breast neoplasms
mir-375,triple negative breast neoplasms
mir-296-5p,triple negative breast neoplasms
mir-637,triple negative breast neoplasms
mir-203a-3p,triple negative breast neoplasms
mir-4753,triple negative breast neoplasms
mir-6809,triple negative breast neoplasms
mir-197-3p,triple negative breast neoplasms
mir-661,triple negative breast neoplasms
mir-208a,triple negative breast neoplasms
mir-3164,triple negative breast neoplasms
mir-148a-3p,triple negative breast neoplasms
mir-152-3p,triple negative breast neoplasms
mir-141-5p,triple negative breast neoplasms
mir-762,bladder urothelial carcinoma
mir-30c,bladder urothelial carcinoma
has-mir-203,osteoporosis
mir-30b-3p,"hemorrhagic fever, ebola"
hsa-mir-892b,leukemia
mir-221,carotid plaque rupture
mir-183-5p-xiap,"leukemia, myeloid, acute"
hsa-mir-1273g-3p,hypertension
hsa-mir-943,"liver cirrhosis, biliary"
mir-197.,diabetes mellitus
mmp13,osteoarthritis
mir-184,diabetic retinopathy
mir-153-5p,"leukemia, myeloid, acute"
mir-488-3p,hirschsprung disease
hsa-mir-637,essential hypertension
id-1,cardiac senescence
mir-200c,intervertebral disc degeneration
mir-26b-5p,cardiac fibrosis
hsa-mir-619-5p,hypertension
mir-193b,osteoarthritis
mir-34,sciatica
hsa-mir-146a-5p,crohn disease
hsa-mir-942-5p,chronic thromboembolic pulmonary hypertension
mir-98,"osteoporosis, postmenopausal"
mir-1248,multiple sclerosis
hsa-mir-5095,hypertension
mir-143,ischemic stroke
mir-646,osteoarthritis
hsa-mir-522-3p,"liver cirrhosis, biliary"
akt3,hirschsprung disease
ube2a,alzheimer disease
hif1a,cardiac senescence
mir-34a,fatty liver
mir-636,osteoarthritis
mir-185,diabetic nephropathies
mir-485-5p,"epilepsy, temporal lobe"
hsa-mir-6807-3p,hypertension
mir-150,lupus nephritis
mir-9-5p,liver cirrhosis
hsa-mir-501-5p,"diabetes mellitus, type 2"
mir-107,atherosclerosis
