circRNA,miRNA
circmtdh.4,mir-630
circmto1,mir-17-5p
circmto1,mir-19b-3p
circmto1,mir-221
circmto1,mir-3200-5p
circmto1,mir-6893
circmto1,mir-9
circmto1,mir-92
circmyc,mir-1236
circmylk,mir-29a-3p
circmylk,mir-362-3p
circmyo10,mir-370-3p
circmyo9b,mir-4316
circnasp,mir-1253
circnek6,mir-370-3p
circnf1,mir-16
circnfix,mir-34a-5p
circ-notch1,mir-449c-5p
circnr3c1,mir-27a-3p
circnrip1,mir-149-5p
circnrip1,mir-505
circ-nsd2,mir-199b-5p
circnt5e,mir-422a
circnup214,mir-145
circp4hb,mir-133a-5p
circpan3,mir-135-5p
circ-pax2,mir-186
circpcnx,mir-506
circpcnxl2,mir-153
circ-pde8a,mir-338
circpdss1,mir-186-5p
circ-pgam1,mir-542-3p
circpicalm,mir-1265
circpip5k1a,mir-1273a
circ-pitx1,mir-329-3p
circ-pitx1,mir-379-5p
circ-pkd2,mir-204-3p
circplekhm3,mir-9
circplk1,mir-296-5p
circ-postn,mir-1205
circ-prkci,mir-3680-3p
circ-prkci,mir-545
circ-prkci,mir-589
circ-prmt5,mir-145
circ-prmt5,mir-1304
circ-prmt5,mir-188-5p
circ-prmt5,mir-30c
circ-prmt5,mir-377
circ-prmt5,mir-498
circ-prmt5,mir-382
circprrc2a,mir-514a-5p
circpsmc3,mir-296-5p
circptgr1,mir-449a
circptn,mir-145-5p
circptn,mir-330-5p
circptpra,mir-636
circptpra,mir-96-5p
circ-ptprz1,mir-1261
circpum1,mir-326
circpum1,mir-615-5p
circpum1,mir-6753-5p
circpvt1,mir-124-3p
circpvt1,mir-125b
circpvt1,mir-145
circpvt1,mir-145-5p
circpvt1,mir-205-5p
circpvt1,mir-4663
circpvt1,mir-497
circ-rad23b,mir-5095
circ-rad23b,mir-593-3p
circ-rad23b,mir-653-5p
circ-rangap1,mir-877-3p
circrapgef5,mir-198
circrbm23,mir-138
circrbms3,mir-153
circrgnef,mir-548
circrhobtb3,mir-654-3p
circrhoc,mir-302e
circrhot1,mir-26b
circrhot1,mir-382
circrhot1,mir-330
circrhot1,mir-125a
circrip2,mir-1305
circrna_000284,mir-506
circrna_000543,mir-9
circrna_000911,mir-449a
circrna_001275,mir-370-3p
circrna_001569,mir-145
circrna_0047905,mir-4516
circrna_0047905,mir-1227-5p
circrna_0072309,mir-665
circrna_0084043,mir-153-3p
circrna_036186,mir-193b-3p
circrna_100146,mir-361-3p
circrna_100146,mir-615-5p
circrna_100284,mir-217
circrna_100290,mir-136-5p
circrna_100290,mir-203
circrna_100290,mir-378a
circrna_100290,mir-516b
circrna_100876,mir-136
circrna_101368,mir-200a
circrna_101505,mir-103
circrna_104433,mir-497-5p
circrna_104718,mir-218-5p
circrna_5692,mir-328-5p
circrna_8924,mir-518d-5p
circrna-acap2,mir-21-5p
circrna-cer,mir-136
circrnf13,mir-93-5p
circrpms1,mir-203
circrpms1,mir-451
circrpms1,mir-31
circscaf11,mir-421
circ-scarb1,mir-510-5p
circsept9,mir-637
circ-sfmbt2,mir-182-5p
circshkbp1,mir-544a
circshkbp1,mir-379
circslc3a2,mir-490-3p
circslc7a6,mir-21
circslc8a1,mir-130b
circslc8a1,mir-494
circ-smad2,mir-629
circsmarca5,mir-19b-3p
circsmo742,mir-338-3p
circ-sox4,mir-1270
circtada2a-e6,mir-203a-3p
circtcf25,mir-206
circ-tcf4.85,mir-486-5p
circtnfrsf21,mir-1227
circtp63,mir-873-3p
circtrim33-12,mir-191
circ-ttbk2,mir-761
circubap2,mir-339-5p
circubap2,mir-135b-3p
circubap2,mir-96-3p
circubap2,mir-422a
circ-ube2d2,mir-1236
circ-ube2d2,mir-1287
circubxn7,mir-1247-3p
circuvrag,mir-223
circvangl1,mir-1184
circvangl1,mir-195
circ-vrk1,mir-624-3p
circwhsc1,mir-145
circwhsc1,mir-1182
circyap1,mir-367-5p
circ-zeb1.33,mir-200a-3p
circzfp57,mir-200
circzfr,mir-1261
circzfr,mir-130a
circzfr,mir-107
circzfr,mir-3619-5p
circzfr,mir-377
circ-zkscan1,mir-1178-3p
circ-znf264,mir-4493
circ-znf609,mir-150
circ-znf609,mir-186-5p
circ-znf652,mir-205
cirs-133,mir-133
cirs-6,mir-653
cmras,mir-567
ctfrc,mir-107
hsa_circ_0015756,mir-1250-3p
hsa_circ_0000003,mir-338-3p
hsa_circ_0000073,mir-143
hsa_circ_0000092,mir-338-3p
hsa_circ_0000140,mir-31
hsa_circ_0000144,mir-217
hsa_circ_00001666,mir-1229
hsa_circ_0000177,mir-638
hsa_circ_0000190,mir-767-5p
hsa_circ_0000199,mir-198
hsa_circ_0000204,mir-191
hsa_circ_0000218,mir-139-3p
hsa_circ_0000263,mir-150-5p
hsa_circ_0000267,mir-503-5p
hsa_circ_0000284,mir-124
hsa_circ_0000284,mir-379
hsa_circ_0000284,mir-7
hsa_circ_0000291,mir-183
hsa_circ_0000337,mir-670-5p
hsa_circ_0000376,mir-375
hsa_circ_0000408,mir-136-5p
hsa_circ_0000467,mir-326-3p
hsa_circ_0000488,mir-496
hsa_circ_0000495,mir-488-3p
hsa_circ_0000515,mir-326
hsa_circ_0000523,mir-31
hsa_circ_0000554,mir-30c-1*
hsa_circ_0000554,mir-1912
hsa_circ_0000554,mir-339-5p
hsa_circ_0000554,mir-139-3p
hsa_circ_0000554,mir-122*
hsa_circ_0000554,mir-30c-2*
hsa_circ_0000567,mir-421
hsa_circ_0000592,mir-139-3p
hsa_circ_0000592,mir-33a-3p
hsa_circ_0000592,mir-367-3p
hsa_circ_0000592,mir-200
hsa_circ_0000594,mir-217
hsa_circ_0000654,mir-149-5p
hsa_circ_0000673,mir-532-5p
hsa_circ_0000673,mir-767-3p
hsa_circ_0000729,mir-375
hsa_circ_0000735,mir-1179
hsa_circ_0000735,mir-1182
hsa_circ_0000792,mir-375
hsa_circ_0000799,mir-31-5p
hsa_circ_0000911,mir-1271
hsa_circ_0000977,mir-153
hsa_circ_0000977,mir-874-3p
hsa_circ_0000993,mir-214-5p
hsa_circ_0001038,mir-337-3p
hsa_circ_0001073,mir-626
hsa_circ_0001098,mir-3942-3p
hsa_circ_0001098,mir-4760-3p
hsa_circ_0001105,mir-766
hsa_circ_0001178,mir-382
hsa_circ_0001206,mir-1285-5p
hsa_circ_0001313,mir-338-3p
hsa_circ_0001361,mir-491-5p
hsa_circ_0001368,mir-6506-5p
hsa_circ_0001427,mir-181c-5p
hsa_circ_0001429,mir-205-5p
hsa_circ_0001445,mir-620
hsa_circ_0001451,mir-197-3p
hsa_circ_0001461,mir-548g
hsa_circ_0001546,mir-421
hsa_circ_0001564,mir-29c-3p
hsa_circ_0001649,mir-127-5p
hsa_circ_0001649,mir-4688
hsa_circ_0001649,mir-612
hsa_circ_0001649,mir-331-3p
hsa_circ_0001649,mir-338-5p
hsa_circ_0001658,mir-375
hsa_circ_0001658,mir-382-5p
hsa_circ_0001721,mir-569
hsa_circ_0001721,mir-599
hsa_circ_0001725,mir-150-5p
hsa_circ_0001727,mir-330-5p
hsa_circ_0001742,mir-431-5p
hsa_circ_0001772,mir-149
hsa_circ_0001785,mir-1200
hsa_circ_0001801,mir-224-5p
hsa_circ_0001801,mir-628-5p
hsa_circ_0001821,let-7
hsa_circ_0001846,mir-661
hsa_circ_0001897,mir-150-5p
hsa_circ_0001900,mir-328-5p
hsa_circ_0001946,mir-135a-5p
hsa_circ_0001946,mir-671-5p
hsa_circ_0001946,mir-7
hsa_circ_0001955,mir-145-5p
hsa_circ_0001955,mir-516a-5p
hsa_circ_0001971,mir-194
hsa_circ_0001971,mir-204
hsa_circ_0001982,mir-143
hsa_circ_0002052,mir-382
hsa_circ_0002142,mir-625-5p
hsa_circ_0002185,mir-526b-5p
hsa_circ_0002211,mir-31-5p
hsa_circ_0002346,mir-93
hsa_circ_0002346,mir-182
hsa_circ_0002453,mir-208a
hsa_circ_0002453,mir-3164
hsa_circ_0002577,mir-197
hsa_circ_0002768,mir-29a
hsa_circ_0003028,mir-570-3p
hsa_circ_0003028,mir-552-3p
hsa_circ_0003028,mir-17-3p
hsa_circ_0003258,mir-203
hsa_circ_0003258,mir-502-5p
hsa_circ_0003645,mir-1179
hsa_circ_0003855,mir-145-5p
hsa_circ_0003998,mir-326
hsa_circ_0004015,mir-1183
hsa_circ_0004214,mir-485-5p
hsa_circ_0004390,mir-198
hsa_circ_0004458,mir-885-5p
hsa_circ_0004771,mir-339-5p
hsa_circ_0004771,mir-653
hsa_circ_0004846,mir-1244
hsa_circ_0004928,mir-375
hsa_circ_0005027,mir-548c-3p
hsa_circ_0005075,mir-335
hsa_circ_0005100,mir-1182
hsa_circ_0005198,mir-1294
hsa_circ_0005230,mir-1238
hsa_circ_0005230,mir-1299
hsa_circ_0005230,mir-618
hsa_circ_0005239,mir-34a
hsa_circ_0005273,mir-1183
hsa_circ_0005576,mir-153-3p
hsa_circ_0005963,mir-122
hsa_circ_0005986,mir-129-5p
hsa_circ_0006168,mir-100
hsa_circ_0006168,mir-384
hsa_circ_0006215,mir-378a-3p
hsa_circ_0006282,mir-155
hsa_circ_0006404,mir-29a-3p
hsa_circ_0006427,mir-6783-3p
hsa_circ_0006528,mir-7-5p
hsa_circ_0006848,mir-329-5p
hsa_circ_0006916,mir-522-3p
hsa_circ_0006948,mir-490-3p
hsa_circ_0006990,mir-101-3p
hsa_circ_0007059,mir-378
hsa_circ_0007255,mir-335-5p
hsa_circ_0007294,mir-148a-3p
hsa_circ_0007294,mir-152-3p
hsa_circ_0007385,mir-181
hsa_circ_0007534,mir-892b
hsa_circ_0007534,mir-625
hsa_circ_0007534,mir-498
hsa_circ_0007534,mir-593
hsa_circ_0007534,mir-613
hsa_circ_0007534,mir-761
hsa_circ_0007843,mir-518c-5p
hsa_circ_0007874,mir-760
hsa_circ_0007915,mir-659-3p
hsa_circ_0007915,mir-106a-3p
hsa_circ_0007915,mir-424-5p
hsa_circ_0008039,mir-515-5p
hsa_circ_0008106,mir-16-5p
hsa_circ_0008225,mir-890
hsa_circ_0008234,mir-370
hsa_circ_0008287,mir-548c-3p
hsa_circ_0008305,mir-429
hsa_circ_0008305,mir-200b-3p
hsa_circ_0008309,mir-1290
hsa_circ_0008309,mir-382-5p
hsa_circ_0008309,mir-136-5p
hsa_circ_0008365,mir-375
hsa_circ_000839,mir-200b
hsa_circ_0008450,mir-548p
hsa_circ_0008450,mir-577
hsa_circ_0008549,mir-136-5p
hsa_circ_0008717,mir-1252
hsa_circ_0008717,mir-1271
hsa_circ_0008792,mir-711
hsa_circ_000926,mir-411
hsa_circ_0009361,mir-582
hsa_circ_0009362,mir-141-5p
hsa_circ_0009910,mir-20a-5p
hsa_circ_0009910,mir-335-5p
hsa_circ_0009910,mir-449a
hsa_circ_0011385,mir-361-3p
hsa_circ_0011780,mir-544a
hsa_circ_0012129,mir-661
hsa_circ_0012342,let-7e-5p
hsa_circ_0012342,mir-214-3p
hsa_circ_0012342,mir-107
hsa_circ_0012384,mir-302e
hsa_circ_0012673,mir-22
hsa_circ_0012673,mir-320a
hsa_circ_0013958,mir-134
hsa_circ_0014130,mir-566
hsa_circ_0014130,mir-600
hsa_circ_0014130,mir-671-5p
hsa_circ_0014359,mir-153
hsa_circ_0015278,mir-141-3p
hsa_circ_0015278,mir-200a-3p
hsa_circ_001569,mir-145
hsa_circ_001569,mir-411-5p
hsa_circ_001569,mir-432-5p
hsa_circ_0015756,mir-7
hsa_circ_0015758,mir-149
hsa_circ_001598,mir-101
hsa_circ_001653,mir-377
hsa_circ_0016760,mir-1287
hsa_circ_0016788,mir-486
hsa_circ_0017247,mir-145
hsa_circ_001783,mir-200c-3p
hsa_circ_0018069,mir-23c
hsa_circ_0018069,mir-3666
hsa_circ_0018069,mir-454-3p
hsa_circ_0018069,mir-181b-5p
hsa_circ_0018069,mir-34a-5p
hsa_circ_001895,mir-296-5p
hsa_circ_0020123,mir-488-3p
hsa_circ_0020123,mir-144
hsa_circ_0020397,mir-138
hsa_circ_0020732,mir-665
hsa_circ_0021093,mir-766-3p
hsa_circ_002136,mir-138-5p
hsa_circ_0023303,mir-646
hsa_circ_0023404,mir-5047
hsa_circ_0025033,mir-1231
hsa_circ_0025033,mir-1304
hsa_circ_0025036,mir-198
hsa_circ_0025039,mir-198
hsa_circ_0025202,mir-182-5p
hsa_circ_0026134,mir-1256
hsa_circ_0026134,mir-1287
hsa_circ_0026344,mir-21
hsa_circ_0026344,mir-31
hsa_circ_0027599,mir-101-3p
hsa_circ_0030235,mir-1253
hsa_circ_0030235,mir-1294
hsa_circ_0031288,mir-139-3p
hsa_circ_0032627,mir-502-5p
hsa_circ_0033550,mir-942-5p
hsa_circ_0034642,mir-1205
hsa_circ_0035483,mir-335
hsa_circ_0037251,mir-1229-3p
hsa_circ_0037655,mir-214
hsa_circ_0039411,mir-136-5p
hsa_circ_0039569,mir-542-3p
hsa_circ_0039569,let-7c-5p
hsa_circ_0041103,mir-103a-3p
hsa_circ_0041103,mir-107
hsa_circ_0042666,mir-223
hsa_circ_0043256,mir-1252
hsa_circ_0043278,mir-203a-3p
hsa_circ_0043278,mir-520f
hsa_circ_0043949,mir-7161-3p
hsa_circ_0043949,mir-5195-3p
hsa_circ_0043949,mir-140-3p
hsa_circ_0043949,mir-1257
hsa_circ_0043949,mir-6783-3p
hsa_circ_0044520,mir-4726-5p
hsa_circ_0044529,mir-4640-5p
hsa_circ_0046264,mir-1245
hsa_circ_0046600,mir-640
hsa_circ_0046701,mir-142-3p
hsa_circ_0047688,mir-125a-3p
hsa_circ_0051079,mir-26a-5p
hsa_circ_0051240,mir-637
hsa_circ_0051443,mir-331-3p
hsa_circ_0052112,mir-125a-5p
hsa_circ_0053277,mir-2467-3p
hsa_circ_0055625,mir-106b-5p
hsa_circ_0056288,mir-125b-5p
hsa_circ_0056618,mir-206
hsa_circ_0056836,mir-766-3p
hsa_circ_0057481,mir-200c
hsa_circ_0057558,mir-6884
hsa_circ_0058063,mir-145-5p
hsa_circ_0058092,mir-4269
hsa_circ_0058124,mir-940
hsa_circ_0059354,mir-302b-3p
hsa_circ_0059655,mir-338-3p
hsa_circ_0060060,mir-144-3p
hsa_circ_0060428,mir-375
hsa_circ_0060456,mir-16-5p
hsa_circ_0060467,mir-361-3p
hsa_circ_006100,mir-195
hsa_circ_0061140,mir-149-5p
hsa_circ_0061825,mir-326
hsa_circ_0061868,mir-7-5p
hsa_circ_0062019,mir-5008
hsa_circ_0062389,mir-103a-3p
hsa_circ_0067835,mir-1236-3p
hsa_circ_0067934,mir-1304
hsa_circ_0067934,mir-1324
hsa_circ_0067934,mir-545
hsa_circ_0067934,mir-589
hsa_circ_0067997,mir-515-5p
hsa_circ_0068033,mir-659
hsa_circ_0068871,mir-181a-5p
hsa_circ_0070269,mir-182
hsa_circ_0070934,mir-1238
hsa_circ_0070934,mir-1247-5p
hsa_circ_0071410,mir-9-5p
hsa_circ_0071589,mir-600
hsa_circ_0071662,mir-146b-3p
hsa_circ_0072083,mir-545-3p
hsa_circ_0072088,mir-532-3p
hsa_circ_0072309,mir-100
hsa_circ_0072309,mir-492
hsa_circ_0072309,mir-580-3p
hsa_circ_0072387,mir-503-5p
hsa_circ_0072391,mir-503-5p
hsa_circ_0072995,mir-30c-2-3p
hsa_circ_0073237,mir-1183
hsa_circ_0074026,mir-1304
hsa_circ_0074027,mir-185-3p
hsa_circ_0074027,mir-518a-5p
hsa_circ_0074362,mir-1236-3p
hsa_circ_0075341,mir-149-5p
hsa_circ_0075828,mir-1224-5p
hsa_circ_0076248,mir-181a
hsa_circ_0076305,mir-296-5p
hsa_circ_0078710,mir-31
hsa_circ_0078767,mir-330-3p
hsa_circ_0079593,mir-182
hsa_circ_0079593,mir-433
hsa_circ_0079993,mir-203a-3p.1
hsa_circ_0080145,mir-29b
hsa_circ_0081143,mir-646
hsa_circ_0082374,let-7
hsa_circ_0084043,mir-429
hsa_circ_0087862,mir-1253
hsa_circ_0088732,mir-661
hsa_circ_0091570,mir-1307
hsa_circ_0091579,mir-490-3p
hsa_circ_0091581,mir-526b
hsa_circ_0091581,mir-526c
hsa_circ_0092012,mir-486-3p
hsa_circ_0092303,mir-331-3p
hsa_circ_0092306,mir-197-3p
hsa_circ_0092509,mir-448
hsa_circ_0093996,mir-183
hsa_circ_009755,mir-585-5p
hsa_circ_009755,mir-29a-5p
hsa_circ_009755,mir-6079
hsa_circ_0099999,mir-335-5p
hsa_circ_0101432,mir-1258
hsa_circ_0101432,mir-622
hsa_circ_0102049,mir-1304-5p
hsa_circ_0103552,mir-1236
hsa_circ_0103809,mir-490-5p
hsa_circ_0127621,mir-888
hsa_circ_0136666,mir-1299
hsa_circ_0136666,mir-136
hsa_circ_0137008,mir-338-5p
hsa_circ_0137439,mir-142-5p
hsa_circ_0137606,mir-1231
hsa_circ_0141940,mir-29a
hsa_circ_081069,mir-665
hsa_circ_100219,mir-485-3p
hsa_circ_100242,mir-145-5p
hsa_circ_100290,mir-203
hsa_circ_100338,mir-141-3p
hsa_circ_100395,mir-1228
hsa_circ_101280,mir-375
hsa_circ_101555,mir-597-5p
hsa_circ_103809,mir-620
hsa_circ_103973,mir-335
hsa_circ_104075,mir-582-3p
hsa_circ_cspp1,mir-361-5p
hsa_circrna_000479,mir-4753
hsa_circrna_000479,mir-6809
hsa_circrna_0007334,mir-577
hsa_circrna_0007334,mir-144-3p
hsa_circrna_0007874,mir-9
hsa_circrna_001654,mir-520a-5p
hsa_circrna_002178,mir-328-3p
hsa_circrna_004662,mir-4520-2-3p
hsa_circrna_004662,mir-4659b-3p
hsa_circrna_004662,mir-4713-5p
hsa_circrna_004662,mir-208b-5p
hsa_circrna_008068,mir-145-3p
hsa_circrna_014213,mir-6812-5p
hsa_circrna_014213,mir-5088-5p
hsa_circrna_014213,mir-5572
hsa_circrna_014213,mir-608
hsa_circrna_014213,mir-6819-5p
hsa_circrna_046843,mir-4524a-5p
hsa_circrna_046843,mir-942-5p
hsa_circrna_046843,mir-876-5p
hsa_circrna_046843,mir-3911
hsa_circrna_046843,mir-4753-3p
hsa_circrna_061346,mir-4778-3p
hsa_circrna_061346,mir-103a-2-5p
hsa_circrna_061346,mir-877-3p
hsa_circrna_061346,mir-5193
hsa_circrna_061346,mir-5196-3p
hsa_circrna_086376,mir-7
hsa_circrna_091420,mir-145-5p
hsa_circrna_100533,mir-933
hsa_circrna_100833,mir-498
hsa_circrna_100833,mir-765
hsa_circrna_100833,mir-139b-5p
hsa_circrna_100833,mir-665
hsa_circrna_100833,mir-495-3p
hsa_circrna_100834,mir-873-5p
hsa_circrna_100834,mir-299-3p
hsa_circrna_100834,mir-93-3p
hsa_circrna_100834,mir-181a-2-3p
hsa_circrna_100834,mir-23b-5p
hsa_circrna_100933,mir-1298-3p
hsa_circrna_100933,mir-514a-5p
hsa_circrna_100933,mir-137
hsa_circrna_100933,mir-2113
hsa_circrna_100933,mir-892b
hsa_circrna_101408,mir-136-5p
hsa_circrna_101408,mir-500a-5p
hsa_circrna_101408,mir-578
hsa_circrna_101408,mir-34b-5p
hsa_circrna_101408,mir-449c-5p
hsa_circrna_101764,mir-181
hsa_circrna_101981,mir-145-5p
hsa_circrna_101996,mir-145-5p
hsa_circrna_101996,mir-8075
hsa_circrna_102116,mir-518f-3p
hsa_circrna_102336,mir-515-5p
hsa_circrna_102761,mir-7
hsa_circrna_103595,mir-1275
hsa_circrna_103809,mir-4302
hsa_circrna_104310,mir-499a-3p
hsa_circrna_104310,mir-489-3p
hsa_circrna_104310,mir-197-3p
hsa_circrna_104310,mir-216a-3p
hsa_circrna_104310,mir-1271-3p
hsa_circrna_105055,mir-7
hsa_circrna_406557,mir-145-3p
circrna_104670,mir-17-3p
hsa_circ_102485,hsa-mir-943
hsa_circ_0041796,mir-519d-3p
hsa-circ-0005870,hsa-mir-1273g-3p
hsa_circ_0082824,hsa-mir-130a-3p
hsa_circ_0072765,mir-9-5p
hsa_circ_0072410,mir-519d-3p
hsa_circ_0005870,hsa-mir-6807-3p
hsa_circ_0068489,mir-519d-3p
hsa_circ_0083357,mir-130a-3p
circsema4b,mir-431
hsa_circ_0000615,mir-184
circ-satb2,mir-939
circ-prkci,mir-1324
hsa_circ_0068942,mir-130a-3p
hsa_circ_0054537,hsa-mir-130a-3p
circfoxo3,fak
hsa_circ_0014243,hsa-mir-10a-5p
hsa_circ_0022342,crkl
circ_1639,mir-122
hsa_circ_0082824,mir-130a-3p
hsa_circ_0045714,mir-193b
hsa_circ_0023404,mir-646
hsa_circ_0004712,mir-455-3p
hsa_circ_0026372,mir-519d-3p
hsa_circ_0004712,mir-323a-5p
hsa_circ_0068087,mir-197.
hsa_circ_0030055,mir-519d-3p
hsa_circ_0054345,mir-9-5p
circr-284,mir-221
cir-ccdc66,mir-488-3p
hsa_circ_0019069,mir-519d-3p
hsa_circ_0083357,hsa-mir-130a-3p
has-circrna_0046367,mir-34a
czranb1,mir-217
hsa_circ_0005402,mir-766
circrunx2,has-mir-203
circfoxo3,e2f1
hsa_circ_0054537,mir-130a-3p
hsa_circ_0004712,mir-661
hsa_circ_407176,hsa-mir-522-3p
hsa_circ_0005870,hsa-mir-1273g-3p
circfoxo3,id-1
circrna-chr19,mir-30b-3p
hsa_circ_0026388,mir-519d-3p
circfoxo3,hif1a
circankrd36,hsa-mir-501-5p
circznf609,mir-615-5p
hsa_circ_082319,hsa-mir-522-3p
hsa_circ_0000615,mir-150-5p
hsa_circ_0012919,mir-125a-3p
hsa_circ_0004277,hsa-mir-138-5p
circrna_0016624,mir-98
circibtk,mir-29b
hsa_circ_407176,hsa-mir-943
hsa-circ-0005870,hsa-mir-5096
hsa_circ_0057576,mir-130a-3p
hsa_circ_0000175,mir-150
circdlgap4,mir-143
hsa_circ_0087206,mir-519d-3p
hsa_circ_052372,hsa-mir-943
hsa_circ_0023404,mmp13
circrna_15698,mir-185
circusp45,mir-127-5p
hsa_circ_0066922,mir-519d-3p
hsa_circ_0005402,mir-1248
circrna-0067835,mir-155
hsa_circ_0032970,hsa-mir-130a-3p
hsa_circ_0037909,hsa-mir-637
hsa_circ_402458,hsa-mir-943
circrna.2837,mir-34
hsa_circ_004183,mir-1972
hsa_circ_0004712,mir-876-3p
hsa_circ_0002062,hsa-mir-942-5p
hsa_circ_0023404,mir-217
hsa_circ_0001946,ube2a
hsa_circ_0004277,hsa-mir-328-3p
hsa_circ_0004277,hsa-mir-571
circankrd36,hsa-mir-3614-3p
circrna-0044073,mir-107
hsa_circ_0005870,hsa-mir-619-5p
hsa_circ_0005105,mir-26a
hsa_circ_0001859,mir-204
hsa_circ_0022342,hsa-mir-940
circhla-c,mir-150
hsa-circ-0005870,hsa-mir-619-5p
hsa_circ_0032970,mir-130a-3p
hsa_circ_0002062,cdk6
circznf609,mef2a
hsa_circ_0000615,mir-615-5p
hsa_circ_402458,hsa-mir-522-3p
cznf609,mir-184
hsa_circ_0004277,hsa-mir-30c-1-3p
circular rna wdr77,mir-124
hsa_circ_0000488,hsa-mir-496
hsa_circ_087631,hsa-mir-943
circtlk1,mir-335-3p
circpan3,mir-153-5p
hsa_circ_0057576,hsa-mir-130a-3p
hsa_circ_0006323,mir-130a-3p
hsa-circ-000595,mir-19a
hsa_circ_0051172,mir-130a-3p
hsa_circ_0023404,mir-136
circrna_0046366,mir-34a
hsa_circ_0004712,let-7g-5p
circpan3,mir-183-5p-xiap
circ kmt2e,mir-204-5p
hsa_circ_0005870,hsa-mir-5095
hsa_circ_0057093,mir-519d-3p
hsa_circ_082319,hsa-mir-943
hsa_circ_0023404,mir-665
hsa_circ_0070963,mir-9-5p
